Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Seed-P2S4-a_S74.16S.R2	81.63434443891927	52.0	231.00012431626055	45.45454545454545	24132.0
Seed-P2S4-b_S82.16S.R1	86.53890450085225	51.0	231.99995393191136	45.45454545454545	21707.0
Seed-P2S4-b_S82.16S.R2	80.86792278988345	52.0	231.0001382042659	45.45454545454545	21707.0
Seed-P2S4-c_S89.16S.R1	87.45000377330012	51.0	232.0	45.45454545454545	26502.0
Seed-P2S4-c_S89.16S.R2	81.63157497547355	52.0	231.00037733001284	45.45454545454545	26502.0
Seed-P3S1-a_S3.16S.R1	88.15759816075374	52.0	232.0	45.45454545454545	22183.0
Seed-P3S1-a_S3.16S.R2	79.01546229094352	53.0	231.00022539782717	45.45454545454545	22183.0
Seed-P3S1-b_S11.16S.R1	87.15808770321772	52.0	232.0	45.45454545454545	20729.0
Seed-P3S1-b_S11.16S.R2	82.32427999421101	53.0	231.0000964831878	45.45454545454545	20729.0
Seed-P3S1-c_S19.16S.R1	87.16297347451152	53.0	231.9999454208056	45.45454545454545	18322.0
Seed-P3S1-c_S19.16S.R2	81.68322235563804	53.0	231.00016373758322	45.45454545454545	18322.0
Seed-P3S2-a_S27.16S.R1	87.11202715809894	52.0	231.9997575169738	45.45454545454545	16496.0
Seed-P3S2-a_S27.16S.R2	82.00775945683802	53.0	231.00012124151309	45.45454545454545	16496.0
Seed-P3S2-b_S35.16S.R1	87.46934485577485	52.0	232.0	45.45454545454545	17126.0
Seed-P3S2-b_S35.16S.R2	81.19233913348125	53.0	231.00029195375453	45.45454545454545	17126.0
Seed-P3S2-c_S43.16S.R1	87.6657893378748	52.0	232.0	45.45454545454545	19377.0
Seed-P3S2-c_S43.16S.R2	81.91154461474945	53.0	231.00025803787997	45.45454545454545	19377.0
Seed-P3S3-a_S51.16S.R1	87.14394516374715	52.0	232.0	45.45454545454545	19695.0
Seed-P3S3-a_S51.16S.R2	82.65549631886266	53.0	231.000253871541	45.45454545454545	19695.0
Seed-P3S3-b_S59.16S.R1	87.5565706551622	52.0	230.99560123503787	45.45454545454545	23643.0
Seed-P3S3-b_S59.16S.R2	82.32457809922599	53.0	231.00025377490167	45.45454545454545	23643.0
