Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Seed-P2S3-a_S50.16S.R2	Seed-P2S3-a_S50.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20903.0	0.0	230-232	52.0	18.848969047505143	231.0002392001148	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S3-b_S58.16S.R1	Seed-P2S3-b_S58.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25231.0	0.0	232.0	51.0	12.670920692798541	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P2S3-b_S58.16S.R2	Seed-P2S3-b_S58.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25231.0	0.0	231-232	52.0	17.759898537513376	231.00015853513534	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S3-c_S66.16S.R1	Seed-P2S3-c_S66.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22417.0	0.0	232.0	51.0	13.347013427309632	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P2S3-c_S66.16S.R2	Seed-P2S3-c_S66.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22417.0	0.0	230-232	52.0	18.610875674711156	231.00031226301468	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S4-a_S74.16S.R1	Seed-P2S4-a_S74.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24132.0	0.0	231-232	51.0	13.2189623736118	231.99995856124647	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S4-a_S74.16S.R2	Seed-P2S4-a_S74.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24132.0	0.0	230-232	52.0	18.365655561080725	231.00012431626055	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S4-b_S82.16S.R1	Seed-P2S4-b_S82.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21707.0	0.0	231-232	51.0	13.46109549914774	231.99995393191136	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S4-b_S82.16S.R2	Seed-P2S4-b_S82.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21707.0	0.0	230-232	52.0	19.132077210116552	231.0001382042659	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S4-c_S89.16S.R1	Seed-P2S4-c_S89.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	26502.0	0.0	232.0	51.0	12.549996226699871	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P2S4-c_S89.16S.R2	Seed-P2S4-c_S89.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	26502.0	0.0	230-232	52.0	18.36842502452645	231.00037733001284	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S1-a_S3.16S.R1	Seed-P3S1-a_S3.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22183.0	0.0	232.0	52.0	11.84240183924627	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S1-a_S3.16S.R2	Seed-P3S1-a_S3.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22183.0	0.0	230-232	53.0	20.984537709056486	231.00022539782717	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S1-b_S11.16S.R1	Seed-P3S1-b_S11.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20729.0	0.0	232.0	52.0	12.841912296782285	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S1-b_S11.16S.R2	Seed-P3S1-b_S11.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20729.0	0.0	230-232	53.0	17.675720005788992	231.0000964831878	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S1-c_S19.16S.R1	Seed-P3S1-c_S19.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18322.0	0.0	231-232	53.0	12.837026525488485	231.9999454208056	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S1-c_S19.16S.R2	Seed-P3S1-c_S19.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18322.0	0.0	230-232	53.0	18.31677764436197	231.00016373758322	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S2-a_S27.16S.R1	Seed-P3S2-a_S27.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16496.0	0.0	231-232	52.0	12.887972841901066	231.9997575169738	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S2-a_S27.16S.R2	Seed-P3S2-a_S27.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16496.0	0.0	230-232	53.0	17.992240543161977	231.00012124151309	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S2-b_S35.16S.R1	Seed-P3S2-b_S35.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17126.0	0.0	232.0	52.0	12.530655144225156	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S2-b_S35.16S.R2	Seed-P3S2-b_S35.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17126.0	0.0	230-232	53.0	18.807660866518745	231.00029195375453	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S2-c_S43.16S.R1	Seed-P3S2-c_S43.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19377.0	0.0	232.0	52.0	12.3342106621252	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S2-c_S43.16S.R2	Seed-P3S2-c_S43.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19377.0	0.0	230-232	53.0	18.088455385250555	231.00025803787997	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S3-a_S51.16S.R1	Seed-P3S3-a_S51.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19695.0	0.0	232.0	52.0	12.856054836252856	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S3-a_S51.16S.R2	Seed-P3S3-a_S51.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19695.0	0.0	230-232	53.0	17.344503681137343	231.000253871541	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S3-b_S59.16S.R1	Seed-P3S3-b_S59.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23643.0	0.0	127-232	52.0	12.443429344837796	230.99560123503787	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S3-b_S59.16S.R2	Seed-P3S3-b_S59.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23643.0	0.0	230-232	53.0	17.675421900774012	231.00025377490167	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S3-c_S67.16S.R1	Seed-P3S3-c_S67.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21619.0	0.0	232.0	52.0	12.90531476941579	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S3-c_S67.16S.R2	Seed-P3S3-c_S67.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21619.0	0.0	230-232	53.0	18.562375688052178	231.00013876682547	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S4-a_S75.16S.R1	Seed-P3S4-a_S75.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22237.0	0.0	231-232	53.0	12.155416647929126	231.99995502990512	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
Seed-P3S4-a_S75.16S.R2	Seed-P3S4-a_S75.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22237.0	0.0	230-232	53.0	16.93573773440662	231.00017988037953	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S4-b_S83.16S.R1	Seed-P3S4-b_S83.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21139.0	0.0	232.0	53.0	12.256965797814466	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S4-b_S83.16S.R2	Seed-P3S4-b_S83.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21139.0	0.0	231-232	53.0	17.96679123894224	231.00033114149204	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S4-c_S90.16S.R1	Seed-P3S4-c_S90.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24632.0	0.0	231-232	53.0	11.679928548229945	231.9999594024034	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S4-c_S90.16S.R2	Seed-P3S4-c_S90.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24632.0	0.0	231-232	53.0	17.274277362780126	231.00048717115948	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S5-a_S4.16S.R1	Seed-P3S5-a_S4.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21441.0	0.0	231-232	52.0	11.398722074530106	231.99990672076862	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S5-a_S4.16S.R2	Seed-P3S5-a_S4.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21441.0	0.0	230-232	53.0	20.050370784944732	231.00013991884708	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S5-b_S12.16S.R1	Seed-P3S5-b_S12.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22561.0	0.0	231-232	53.0	10.695447896813084	231.99995567572358	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S5-b_S12.16S.R2	Seed-P3S5-b_S12.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22561.0	0.0	231-232	53.0	15.664199281946722	231.00013297282922	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P3S5-c_S20.16S.R1	Seed-P3S5-c_S20.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18907.0	0.0	232.0	53.0	11.313270217379806	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P3S5-c_S20.16S.R2	Seed-P3S5-c_S20.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18907.0	0.0	230-232	53.0	16.089279102977734	231.0002115618554	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S1-a_S28.16S.R1	Seed-P4S1-a_S28.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19373.0	0.0	231-232	52.0	12.207711763794972	231.99989676353687	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S1-a_S28.16S.R2	Seed-P4S1-a_S28.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19373.0	0.0	231-232	52.0	17.91152635110721	231.00015485469467	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S1-b_S36.16S.R1	Seed-P4S1-b_S36.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17205.0	0.0	232.0	53.0	12.682359779133973	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P4S1-b_S36.16S.R2	Seed-P4S1-b_S36.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17205.0	0.0	230-232	54.0	18.30281894798024	231.00005812263876	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S1-c_S44.16S.R1	Seed-P4S1-c_S44.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19292.0	0.0	231-232	53.0	12.103462575160687	231.99989633008502	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S1-c_S44.16S.R2	Seed-P4S1-c_S44.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19292.0	0.0	230-232	54.0	18.152602114866266	231.00015550487248	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S2-a_S52.16S.R1	Seed-P4S2-a_S52.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20927.0	0.0	231-232	52.0	12.438476609165193	231.99995221484207	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S2-a_S52.16S.R2	Seed-P4S2-a_S52.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20927.0	0.0	230-232	53.0	17.943326802695083	231.0001433554738	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S2-b_S60.16S.R1	Seed-P4S2-b_S60.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25741.0	0.0	232.0	52.0	11.479740491822385	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P4S2-b_S60.16S.R2	Seed-P4S2-b_S60.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25741.0	0.0	230-232	53.0	17.264286546754207	231.00034963676626	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S2-c_S68.16S.R1	Seed-P4S2-c_S68.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	27699.0	0.0	232.0	52.0	11.523881728582259	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P4S2-c_S68.16S.R2	Seed-P4S2-c_S68.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	27699.0	0.0	230-232	53.0	17.2569406837792	231.00018051193183	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S3-a_S76.16S.R1	Seed-P4S3-a_S76.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23099.0	0.0	231-232	53.0	13.221351573661197	231.9999567080826	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S3-a_S76.16S.R2	Seed-P4S3-a_S76.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23099.0	0.0	230-232	53.0	19.31685354344344	231.000216459587	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S3-b_S84.16S.R1	Seed-P4S3-b_S84.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20004.0	0.0	231-232	53.0	13.737252549490103	231.999950009998	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S3-b_S84.16S.R2	Seed-P4S3-b_S84.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20004.0	0.0	230-232	53.0	20.565886822635473	230.999950009998	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S3-c_S91.16S.R1	Seed-P4S3-c_S91.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25603.0	0.0	232.0	53.0	13.100027340546031	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P4S3-c_S91.16S.R2	Seed-P4S3-c_S91.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25603.0	0.0	230-232	53.0	19.181345936023124	231.0003515213061	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S4-a_S5.16S.R1	Seed-P4S4-a_S5.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16353.0	0.0	231-232	53.0	12.003913654986853	231.99981654742248	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S4-a_S5.16S.R2	Seed-P4S4-a_S5.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16353.0	0.0	230-232	53.0	21.73913043478261	231.0	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S4-b_S13.16S.R1	Seed-P4S4-b_S13.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20157.0	0.0	232.0	53.0	11.395544971970036	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P4S4-b_S13.16S.R2	Seed-P4S4-b_S13.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20157.0	0.0	230-232	54.0	16.86758942302922	230.9999503894429	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S4-c_S21.16S.R1	Seed-P4S4-c_S21.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18893.0	0.0	108-232	53.0	11.739797808712222	230.99343672259567	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P4S4-c_S21.16S.R2	Seed-P4S4-c_S21.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18893.0	0.0	230-232	54.0	17.657333403906208	231.00010585931298	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-a_S29.16S.R1	Seed-P5S1-a_S29.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18292.0	0.0	231-232	53.0	12.863546905751146	231.99994533129237	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-a_S29.16S.R2	Seed-P5S1-a_S29.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18292.0	0.0	230-232	54.0	18.40695385961076	230.99994533129237	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-b_S37.16S.R1	Seed-P5S1-b_S37.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17777.0	0.0	231-232	53.0	13.35433425212353	231.9998874950779	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-b_S37.16S.R2	Seed-P5S1-b_S37.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17777.0	0.0	230-232	54.0	19.536479720987792	231.00005625246104	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-c_S45.16S.R1	Seed-P5S1-c_S45.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20088.0	0.0	231-232	53.0	13.042612504978097	231.99990043807247	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S1-c_S45.16S.R2	Seed-P5S1-c_S45.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20088.0	0.0	230-232	54.0	19.623655913978492	231.00019912385503	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S2-a_S53.16S.R1	Seed-P5S2-a_S53.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24670.0	0.0	231-232	54.0	10.312119983785974	231.9998783948115	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S2-a_S53.16S.R2	Seed-P5S2-a_S53.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24670.0	0.0	230-232	54.0	14.26834211593028	231.00004053506282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S2-b_S61.16S.R1	Seed-P5S2-b_S61.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22004.0	0.0	231-232	54.0	10.820759861843301	231.999909107435	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S2-b_S61.16S.R2	Seed-P5S2-b_S61.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22004.0	0.0	230-232	54.0	15.897109616433374	231.0	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P5S2-c_S69.16S.R1	Seed-P5S2-c_S69.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24882.0	0.0	232.0	54.0	10.79495217426252	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P5S2-c_S69.16S.R2	Seed-P5S2-c_S69.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24882.0	0.0	230-232	54.0	15.597620770034561	231.00004018969537	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-a_S77.16S.R1	Seed-P6S1-a_S77.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23165.0	0.0	112-232	51.0	11.703000215842867	230.99486293977984	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-a_S77.16S.R2	Seed-P6S1-a_S77.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23165.0	0.0	230-232	52.0	16.853011007986186	231.00025901143968	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-b_S85.16S.R1	Seed-P6S1-b_S85.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20593.0	0.0	231-232	52.0	11.387364638469382	231.99995143980965	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-b_S85.16S.R2	Seed-P6S1-b_S85.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20593.0	0.0	230-232	52.0	17.117467100471035	231.00029136114213	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-c_S92.16S.R1	Seed-P6S1-c_S92.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25809.0	0.0	231-232	52.0	10.860552520438608	231.99984501530474	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S1-c_S92.16S.R2	Seed-P6S1-c_S92.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25809.0	0.0	231-232	52.0	16.901081018249446	231.0003099693905	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S2-a_S6.16S.R1	Seed-P6S2-a_S6.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19874.0	0.0	232.0	51.0	11.89493811009359	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P6S2-a_S6.16S.R2	Seed-P6S2-a_S6.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19874.0	0.0	230-232	51.0	22.225017610948978	231.00010063399415	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S2-b_S14.16S.R1	Seed-P6S2-b_S14.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20532.0	0.0	231-232	51.0	12.653419053185273	231.99990259107733	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S2-b_S14.16S.R2	Seed-P6S2-b_S14.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20532.0	0.0	230-232	51.0	18.673290473407363	231.00009740892267	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S2-c_S22.16S.R1	Seed-P6S2-c_S22.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18615.0	0.0	231-232	51.0	12.817620198764438	231.99989255976362	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S2-c_S22.16S.R2	Seed-P6S2-c_S22.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18615.0	0.0	230-232	51.0	19.183454203599247	231.0	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S3-a_S30.16S.R1	Seed-P6S3-a_S30.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18824.0	0.0	231-232	51.0	12.92498937526562	231.9998406289843	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P6S3-a_S30.16S.R2	Seed-P6S3-a_S30.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18824.0	0.0	230-232	52.0	18.08329791755206	231.0000531236719	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P6S3-b_S38.16S.R1	Seed-P6S3-b_S38.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17645.0	0.0	232.0	51.0	13.193539246245395	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P6S3-b_S38.16S.R2	Seed-P6S3-b_S38.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17645.0	0.0	230-232	52.0	19.597619722300934	231.00017001983565	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P6S3-c_S46.16S.R1	Seed-P6S3-c_S46.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19380.0	0.0	232.0	51.0	12.879256965944272	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P6S3-c_S46.16S.R2	Seed-P6S3-c_S46.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19380.0	0.0	230-232	52.0	19.391124871001033	231.00010319917442	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S1-a_S54.16S.R1	Seed-P7S1-a_S54.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23820.0	0.0	231-232	52.0	11.582703610411418	231.99991603694374	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P7S1-a_S54.16S.R2	Seed-P7S1-a_S54.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23820.0	0.0	230-232	52.0	16.272040302267	231.00004198152814	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S1-b_S62.16S.R1	Seed-P7S1-b_S62.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19349.0	0.0	232.0	52.0	12.041965993074577	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P7S1-b_S62.16S.R2	Seed-P7S1-b_S62.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19349.0	0.0	230-232	52.0	17.76319189622203	231.0002067290299	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S1-c_S70.16S.R1	Seed-P7S1-c_S70.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	28090.0	0.0	231-232	52.0	11.192595229619082	231.9999288002848	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P7S1-c_S70.16S.R2	Seed-P7S1-c_S70.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	28090.0	0.0	230-232	52.0	16.632253470986118	231.0002847988608	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S2-a_S78.16S.R1	Seed-P7S2-a_S78.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23897.0	0.0	231-232	52.0	12.704523580365738	231.99995815374314	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S2-a_S78.16S.R2	Seed-P7S2-a_S78.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23897.0	0.0	230-232	53.0	17.554504749550155	231.0001673850274	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S2-b_S86.16S.R1	Seed-P7S2-b_S86.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18903.0	0.0	231-232	52.0	13.844363328572184	231.99994709834417	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S2-b_S86.16S.R2	Seed-P7S2-b_S86.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18903.0	0.0	230-232	53.0	19.340845368460034	231.00010580331164	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P7S2-c_S93.16S.R1	Seed-P7S2-c_S93.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	27573.0	0.0	231-232	52.0	12.443332245312444	231.999963732637	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
