Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-P3S2-Colza-myro-b_S202.16S.R1	18.119148060500052	57.78886716740405
Germ-P3S2-Colza-myro-b_S202.16S.R2	8.076962650478444	57.42874781356107
Germ-P3S2-Colza-myro-c_S203.16S.R1	11.810536092048913	63.376502760435464
Germ-P3S2-Colza-myro-c_S203.16S.R2	12.290387492905424	55.100356018781284
Germ-P3S2-GR24-a_S175.16S.R1	16.340007396058954	60.88541391515665
Germ-P3S2-GR24-a_S175.16S.R2	17.132442284325638	54.318770141053434
Germ-P3S2-GR24-b_S176.16S.R1	10.061782877316858	66.6924095322153
Germ-P3S2-GR24-b_S176.16S.R2	11.126434245366285	55.019858781994714
Germ-P3S2-GR24-c_S177.16S.R1	15.933057027438224	62.81936939300142
Germ-P3S2-GR24-c_S177.16S.R2	18.194218561460573	54.299354703320844
Germ-P3S2-Tabac-a_S226.16S.R1	11.13215068766195	62.1785927845326
Germ-P3S2-Tabac-a_S226.16S.R2	9.642216464022324	54.61431134143912
Germ-P3S2-Tabac-b_S227.16S.R1	12.779850746268655	63.050373134328346
Germ-P3S2-Tabac-b_S227.16S.R2	13.353544776119403	51.67910447761186
Germ-P3S2-Tabac-c_S228.16S.R1	12.551275401952003	62.6149276250648
Germ-P3S2-Tabac-c_S228.16S.R2	11.339525673063322	54.915366118157365
Germ-P4S1-ACN-a_S178.16S.R1	7.758045689511422	67.02517925629478
Germ-P4S1-ACN-a_S178.16S.R2	8.299983324995832	57.18692679673168
Germ-P4S1-ACN-b_S179.16S.R1	9.008638420403127	65.19539284245172
Germ-P4S1-ACN-b_S179.16S.R2	8.741258741258742	55.647881530234436
Germ-P4S1-ACN-c_S180.16S.R1	9.466444717014193	64.44278955668473
Germ-P4S1-ACN-c_S180.16S.R2	7.18854038899597	56.13281934466446
Germ-P4S1-Chanvre-a_S229.16S.R1	13.45724907063197	62.51614165525329
Germ-P4S1-Chanvre-a_S229.16S.R2	13.887693210721972	53.809430639796396
Germ-P4S1-Chanvre-b_S230.16S.R1	11.971830985915492	63.552840220128715
Germ-P4S1-Chanvre-b_S230.16S.R2	14.21042813170413	53.26928458166218
Germ-P4S1-Chanvre-c_S231.16S.R1	11.684111225910785	65.66641211086657
Germ-P4S1-Chanvre-c_S231.16S.R2	12.384888369794709	58.31723642244286
Germ-P4S1-Colza-a_S205.16S.R1	9.83747199847481	65.39726419141125
Germ-P4S1-Colza-a_S205.16S.R2	7.263714789571517	57.733187169343715
Germ-P4S1-Colza-b_S206.16S.R1	20.59308872063677	58.784701999611784
Germ-P4S1-Colza-b_S206.16S.R2	18.82644146767618	53.2420889147739
Germ-P4S1-Colza-c_S207.16S.R1	10.03921147338454	63.83950153085888
Germ-P4S1-Colza-c_S207.16S.R2	6.988236557984638	55.60509212010531
Germ-P4S1-Colza-myro-a_S208.16S.R1	12.064977124351	63.70739731660916
Germ-P4S1-Colza-myro-a_S208.16S.R2	15.077365958978051	51.75551328843876
Germ-P4S1-Colza-myro-b_S209.16S.R1	13.497221931020023	62.108187441031646
Germ-P4S1-Colza-myro-b_S209.16S.R2	11.274766747038473	54.75416710346995
Germ-P4S1-Colza-myro-c_S210.16S.R1	14.314858891533492	61.28139116918446
Germ-P4S1-Colza-myro-c_S210.16S.R2	12.31845339291786	55.292174673337556
Germ-P4S1-GR24-a_S181.16S.R1	12.687585266030013	60.66980592351362
