sample,date,molecules,EC50,Sd,p_value,Tmax,Tmax_rel,plot,host,mlg,buvo_gen_dist
P3S2,190421,2PEITC,1.36E-07,2.25E-08,2.94E-06,0.553,1.1079258010118,P3,Tobacco,MLG7,0.530706787109375
P3S3,190314,2PEITC,6.76E-08,1.18E-08,6.99E-06,0.154,1.08977556109726,P3,Tobacco,MLG7,0.530706787109375
P3S4,190314,2PEITC,4.18E-08,1E-08,0.000364,0.133,1.08449004224502,P3,Tobacco,MLG7,0.530706787109375
P3S5,190314,2PEITC,4.73E-08,8.7E-09,2.99E-05,0.174,1.27931488801054,P3,Tobacco,MLG5,0.518217468261719
P4S1,190314,2PEITC,8.9E-08,1.2E-08,5.02E-07,0.198,1.2452073116362,P4,Tobacco,MLG1,0.474693298339844
P4S2,190421,2PEITC,6.15E-07,2.67E-07,0.0304,0.241,1.51528384279476,P4,Tobacco,MLG2,0.474693298339844
P4S3,190421,2PEITC,2.5E-07,6.32E-08,0.000723,0.222,1.0893470790378,P4,Tobacco,MLG3,0.493125915527344
P4S4,190421,2PEITC,2.54E-07,3.8E-08,4.32E-07,0.279,1.07076167076167,P4,Tobacco,MLG4,0.480943298339844
P5S1,190306,2PEITC,1.66E-08,5.97E-09,0.0127,0.294,1.53153153153153,P5,Tobacco,MLG8,0.524481201171875
P5S2,190306,2PEITC,2.92E-09,1.32E-09,0.0372,0.424,1.28633450485838,P5,Tobacco,MLG9,0.511993408203125
P6S1,190306,2PEITC,6.97E-08,1.79E-08,0.000607,0.315,1.29162980003539,P6,Hemp,MLG12,0.532745361328125
P6S2,190306,2PEITC,1.83E-08,1.46E-09,1.23E-10,0.26,1.0259765625,P6,Hemp,MLG11,0.520245361328125
P6S3,190306,2PEITC,6.11E-08,2.46E-08,0.0205,0.293,1.27465857359636,P6,Hemp,MLG10,0.507745361328125
P7S1,190421,2PEITC,4.59E-07,9.19E-08,3.79E-05,0.326,1.28596087456847,P7,Hemp,MLG13,0.532696533203125
P7S2,190421,2PEITC,3.91E-07,8.39E-08,0.000172,0.068,1.18604651162791,P7,Hemp,MLG13,0.532696533203125
P7S3,190421,2PEITC,2.71E-07,3.5E-08,4.18E-08,0.19,1.09605488850772,P7,Hemp,MLG14,0.545196533203125
P7S4,190421,2PEITC,1.91E-07,4.79E-08,0.000542,0.233,1.17739130434783,P7,Hemp,MLG14,0.545196533203125
P2S2,190404,Hemp,0.000225,5.38E-05,0.000555,0.354,1.31178707224335,P2,Oilseed rape,MLG17,0
P3S2,190404,Hemp,1.07E-06,3.47E-07,0.00562,0.661,1.47692753446383,P3,Tobacco,MLG7,0.530706787109375
P4S1,190404,Hemp,1.02E-06,1.81E-07,1.25E-05,0.567,1.42682715020147,P4,Tobacco,MLG1,0.474693298339844
P6S1,190404,Hemp,1.56E-06,5.46E-07,0.0093,0.421,1.28677426920535,P6,Hemp,MLG12,0.532745361328125
Pram120,190503,Hemp,,,,,,,,,
Pram76,190503,Hemp,,,,,,,,,
P2S2,190404,Oilseed rape,0.00242674,0.00028583,3.13E-08,0.444,1.83870967741935,P2,Oilseed rape,MLG17,0
P3S2,190404,Oilseed rape,0.00318468,0.00062657,4.93E-05,0.537,1.99872122762148,P3,Tobacco,MLG7,0.530706787109375
P4S1,190404,Oilseed rape,0.00211918,0.00031825,1.37E-06,0.383,1.80566801619433,P4,Tobacco,MLG1,0.474693298339844
P6S1,190404,Oilseed rape,0.0037507,0.0012844,0.00818,0.257,2.07703281027104,P6,Hemp,MLG12,0.532745361328125
Pram120,190503,Oilseed rape,,,,,,,,,
Pram76,190503,Oilseed rape,,,,,,,,,
P2S2,190421,Oilseed rape + myrosinase,0.00110936,0.00034585,0.00488,0.315,1.48407088539747,P2,Oilseed rape,MLG17,0
P3S2,190421,Oilseed rape + myrosinase,0.000271,5.45E-05,6.39E-05,0.448,1.15001836045606,P3,Tobacco,MLG7,0.530706787109375
P4S1,190421,Oilseed rape + myrosinase,0.00115,8.95E-05,3.94E-11,0.66,1.25230510456303,P4,Tobacco,MLG1,0.474693298339844
P6S1,190421,Oilseed rape + myrosinase,0.0097464,0.0015827,4.14E-06,0.137,4.63647942937205,P6,Hemp,MLG12,0.532745361328125
Pram120,190503,Oilseed rape + myrosinase,,,,,,,,,
Pram76,190503,Oilseed rape + myrosinase,,,,,,,,,
P1S1,190320,racGR24,7.61E-12,2.49E-12,0.00512,0.542,1.53256567110471,P1,Oilseed rape,MLG17,0
