Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ce032a155bfc8fd59ae5e18a4cb3e257,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,unidentified
cfc368791cb9d10a0e872bae38036a4e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,unidentified,unidentified
d0634a1db3a53f01ec7c69a917e89e01,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,unidentified,unidentified
d0ae4dc3f961749237f899411a90f680,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
d0f5a13b1fed717302d5e2a8b2bed166,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,unidentified
d1c7f864bb89c5da1b34311d4dbb8d4c,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora_piceae
d27d76e15a0d376a8cc51402365d0064,Fungi,Basidiomycota,Tremellomycetes,unidentified,unidentified,unidentified,unidentified
d296c5e514dfe3cf4aa92c03a9229f0f,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
d3f6b6f060472683bf7b76043e08f999,Fungi,Basidiomycota,Microbotryomycetes,unidentified,unidentified,unidentified,unidentified
d42dd88523141e9c964ebf9ef39ab591,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Trechisporales_fam_Incertae_sedis,Sistotremastrum,Sistotremastrum_guttuliferum
d4516357058e626df78a9bc6e533569e,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Sampaiozyma,Sampaiozyma_vanillica
d4cdcb75efcc120d770a3eb14df0e303,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Trametes,Trametes_trogii
d4f7875bdab9c5d43f9232d340e04523,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora_violaceolivida
